Die,Rm,Rp,A%,Wb,Alloy,Temper,Hours in oven
36011524,282,252,12.5,15.5,EN AW 6063,T66,8
3604031,271,244,11.5,15,EN AW 6063,T66,8
3604031,284,249,11.4,15.5,EN AW 6063,T66,8
3604031,262,240,11.6,14.5,EN AW 6063,T66,8
3604031,260,237,11.6,14.5,EN AW 6063,T66,8
3604031,263,240,11.5,15,EN AW 6063,T66,8
3602047,280,253,10.7,15.5,EN AW 6063,T66,8
3602047,278,248,10.1,15.5,EN AW 6063,T66,8
3602047,283,258,10.8,15.5,EN AW 6063,T66,8
3602047,278,251,11.7,15.5,EN AW 6063,T66,8
3602047,277,255,10.1,15.5,EN AW 6063,T66,8
3602047,280,257,11.7,15.5,EN AW 6063,T66,8
3602022,281,250,11,15.5,EN AW 6063,T66,8
3602022,278,259,10.7,15.5,EN AW 6063,T66,8
3602022,268,247,10.9,15,EN AW 6063,T66,8
3602022,273,251,11.2,15,EN AW 6063,T66,8
3602022,280,254,10.8,15.5,EN AW 6063,T66,8
36011087,217,180,12.3,12,EN AW 6060,T66,4
36011087,211,173,12.2,12,EN AW 6060,T66,4
36011087,224,189,12.4,12.5,EN AW 6060,T66,4
36011087,213,167,13.1,11.5,EN AW 6060,T66,4
36011087,222,180,13.8,12,EN AW 6060,T66,4
38042004,193,152,12.9,11,EN AW 6060,T64,3.5
38042004,222,189,12.5,12.5,EN AW 6060,T64,3.5
38042004,188,139,16.4,10.5,EN AW 6060,T64,3
38042004,196,151,14.1,11,EN AW 6060,T64,3.5
36011065,219,181,12.6,12,EN AW 6060,T66,4
36011065,219,187,11.7,12,EN AW 6060,T66,4
36011065,212,179,11.1,12,EN AW 6060,T66,4
36011065,216,185,11.1,12,EN AW 6060,T66,4
17321,300,280,11.7,16,EN AW 6005,T6,8
17321,299,279,11.4,16,EN AW 6005,T6,8
17321,298,269,10.5,16,EN AW 6005,T6,8
17321,294,265,11.3,16,EN AW 6005,T6,8
17321,292,273,11.5,16,EN AW 6005,T6,8
17321,292,270,9.8,16,EN AW 6005,T6,8
17321,295,275,12,16,EN AW 6005,T6,8
17321,294,276,9.8,16,EN AW 6005,T6,8
17321,291,269,10.2,16,EN AW 6005,T6,8
3602027,293,266,10.7,16,EN AW 6005,T6,8
3602027,292,261,9.9,16,EN AW 6005,T6,8
3602027,283,284,8.3,15.5,EN AW 6005,T6,8
3602027,288,261,10.3,16,EN AW 6005,T6,8
3602027,295,264,10.5,16,EN AW 6005,T6,8
3602027,292,262,10.8,16,EN AW 6005,T6,8
3604017,225,191,14.4,12.5,EN AW 6060,T66,6
3604017,223,190,14.1,12.5,EN AW 6060,T66,6
3604017,224,195,14.6,12.5,EN AW 6060,T66,6
3604017,225,198,17,12.5,EN AW 6060,T66,6
3604017,223,196,12.3,12.5,EN AW 6060,T66,6
3604017,216,187,10.1,12,EN AW 6060,T66,6
3604017,215,185,14.5,12,EN AW 6060,T66,6
3604017,226,188,16.3,12.5,EN AW 6060,T66,6
3604017,224,185,15.1,12.5,EN AW 6060,T66,6
3604017,232,203,15.2,12.5,EN AW 6060,T66,6
36011086,298,279,9.3,16,EN AW 6082,T6,8
36011086,298,277,10.3,16,EN AW 6082,T6,8
36011086,299,280,9.6,16,EN AW 6082,T6,8
36011086,312,274,9.5,16.5,EN AW 6082,T6,8
36011086,310,276,9.1,16.5,EN AW 6082,T6,8
36011086,330,306,10,17,EN AW 6082,T6,8
36011086,320,297,11.1,17,EN AW 6082,T6,8
36011086,328,299,9.7,17,EN AW 6082,T6,8
36011086,323,293,8.9,17,EN AW 6082,T6,8
36011086,327,303,8.7,17,EN AW 6082,T6,8
36011085,320,298,9.3,17,EN AW 6082,T6,8
36011085,324,302,7.5,17,EN AW 6082,T6,8
36011085,311,279,12,16.5,EN AW 6082,T6,8
36011085,313,282,11.3,16.5,EN AW 6082,T6,8
36011085,306,285,9.6,16.5,EN AW 6082,T6,8
36011085,331,302,7.6,17,EN AW 6082,T6,8
36011085,328,293,10.3,17,EN AW 6082,T6,8
3602026,284,254,12,16,EN AW 6063,T6,8
3602026,297,276,10.4,16.5,EN AW 6005,T6,8
3602026,290,280,11.1,16,EN AW 6005,T6,8
3602026,279,248,13,15,EN AW 6063,T6,8
3602026,280,250,12.2,15.5,EN AW 6063,T6,8
3602026,307,283,11.2,16.5,EN AW 6005,T6,8
3602026,278,241,14.2,15.5,EN AW 6063,T6,8
36x1.5,229,200,10.5,13,EN AW 6060,T66,6
36x1.5,225,192,11.5,12.5,EN AW 6060,T66,6
36x1.5,224,195,11,12.5,EN AW 6060,T66,6
36x1.5,225,192,12.1,12.5,EN AW 6060,T66,6
36x1.5,225,201,11.3,13,EN AW 6060,T66,6
17535,274,246,12.7,15,EN AW 6063,T66,8
17535,275,244,12.3,15,EN AW 6063,T66,8
17535,283,258,10.9,15.5,EN AW 6063,T66,8
3602023,281,251,10.9,15.5,EN AW 6063,T66,8
3602023,281,250,11.7,15.5,EN AW 6063,T66,8
3602023,278,257,11.2,15.5,EN AW 6063,T66,8
3602023,282,258,11.4,15.5,EN AW 6063,T66,8
3602023,277,251,12.4,15.5,EN AW 6063,T66,8
3602023,282,257,11.8,15.5,EN AW 6063,T66,8
3602023,283,2854,12,15.5,EN AW 6063,T66,8
3602023,277,248,12.8,15.5,EN AW 6063,T66,8
3602023,286,262,11.6,16,EN AW 6063,T66,8
3602023,278,255,11.6,15.5,EN AW 6063,T66,8
36011046,254,238,10.6,14.5,EN AW 6063,T66,8
36011046,257,235,10.4,14.5,EN AW 6063,T66,8
36011046,263,240,11.3,15,EN AW 6063,T66,8
36011046,255,235,12,14.5,EN AW 6063,T66,8
36011046,249,231,12.1,14,EN AW 6063,T66,8
3604003,269,235,12,15,EN AW 6063,T66,8
F40x5,243,195,14,13.5,EN AW 6063,T64,1.75
F40x5,239,193,16,13.5,EN AW 6063,T64,1.75
F40x5,242,195,12.8,14,EN AW 6063,T64,1.75
F40x5,245,192,12.2,13.5,EN AW 6063,T64,1.75
F40x5,248,200,16.3,14,EN AW 6063,T64,1.75
F40x5,257,212,15,14,EN AW 6063,T64,1.75
F40x5,235,215,16,14,EN AW 6063,T64,1.75
F40x5,237,201,15.9,13.5,EN AW 6063,T64,1.75
F40x5,245,200,16.6,14,EN AW 6063,T64,1.75
36011533,248,201,15.6,14,EN AW 6063,T64,1.75
36011533,252,200,14.8,14,EN AW 6063,T64,1.75
36011533,267,222,13.9,14.5,EN AW 6063,T64,1.75
36011533,263,217,15.1,14.5,EN AW 6063,T64,1.75
36011533,253,205,15,14,EN AW 6063,T64,1.75
3602035,287,262,9.2,16,EN AW 6005,T6,8
3602035,281,261,9.9,16,EN AW 6005,T6,8
3602035,281,259,10.7,16,EN AW 6005,T6,8
3602035,292,268,10.1,16.5,EN AW 6005,T6,8
3602035,280,257,10.1,15.5,EN AW 6005,T6,8
3602035,280,259,9.8,16,EN AW 6005,T6,8
3602035,288,266,9.9,16,EN AW 6005,T6,8
3602035,294,270,9.1,16,EN AW 6005,T6,8
3602035,285,264,11.3,16,EN AW 6005,T6,8
3602035,288,262,9,16,EN AW 6005,T6,8
3602035,286,259,9.9,16,EN AW 6005,T6,8
3602035,282,261,11.1,16,EN AW 6005,T6,8
3602035,284,251,11.4,16,EN AW 6005,T6,8
3602035,282,263,9.9,16,EN AW 6005,T6,8
3602035,275,250,10.2,15.5,EN AW 6005,T6,8
3602035,277,255,10.7,15.5,EN AW 6005,T6,8
3602035,288,269,10.7,16,EN AW 6005,T6,8
3602027,280,250,10.4,15.5,EN AW 6005,T6,8
3602027,282,254,8.3,16,EN AW 6005,T6,8
3602027,300,270,9.6,16.5,EN AW 6005,T6,8
3602027,289,259,11.4,16,EN AW 6005,T6,8
3602027,306,279,7.4,16.5,EN AW 6005,T6,8
3602027,298,270,10.4,16,EN AW 6005,T6,8
3602027,298,270,11.3,16,EN AW 6005,T6,8
3602027,292,266,10.7,16,EN AW 6005,T6,8
3602027,292,261,9.9,16,EN AW 6005,T6,8
3602027,283,254,10.4,16,EN AW 6005,T6,8
3602027,298,270,10.4,16,EN AW 6005,T6,8
3602027,298,270,10.4,16,EN AW 6005,T6,8
17306,328,283,11,17,EN AW 6082,T6,8
17306,320,285,12.5,17,EN AW 6082,T6,8
17306,322,289,9.8,17,EN AW 6082,T6,8
17306,321,278,10.8,17,EN AW 6082,T6,8
17306,314,272,7.2,16.5,EN AW 6082,T6,8
17306,322,288,11.8,17,EN AW 6082,T6,8
17306,314,277,15,16.5,EN AW 6082,T6,8
17306,311,273,11.5,16.5,EN AW 6082,T6,8
17306,306,266,12.4,16.5,EN AW 6082,T6,8
17306,317,277,11.8,16.5,EN AW 6082,T6,8
17306,335,297,11.4,17.5,EN AW 6082,T6,8
17306,310,277,10.5,16.5,EN AW 6082,T6,8
17306,297,266,8.9,16.5,EN AW 6082,T6,8
17306,333,299,14.3,17.5,EN AW 6082,T6,8
17306,304,270,11.4,16.5,EN AW 6082,T6,8
